,m_address,m_coordinates,m_operating_mode,m_tariff_id,m_pole_id,m_meter_phase,m_id,m_serial,m_tariff.name,m_tariff.electricity_rate_type,m_tariff.block_rate,m_tariff.rate_amount.value,m_tariff.rate_amount.numerator,m_tariff.rate_amount.denominator,m_tariff.time_of_use,m_tariff.load_limit_type,m_tariff.load_limit.value,m_tariff.load_limit.unit,m_tariff.plan_type,m_tariff.low_balance_threshold.amount,m_tariff.low_balance_threshold.currency,m_tariff.inrush_current_protection_disabled,m_tariff.block_rate_cycle_reset_energy,m_tariff.last_block_rate_cycle_reset_at,m_tariff.daily_energy_limit,m_tariff.daily_energy_limit_unit,id
157,,,auto,0f0cc57f-8a31-4f5e-bbbd-ecf7c5f79201,,,f56d7489-60d0-438e-b7e9-a31ad3f0e962,SMRSDRF-02-0008813A,Basic HH Tariff_Zone 1,flat_rate,,19.0000,ETB,kWh,"[{'start_time': '06:00', 'modifier': '100.0'}, {'start_time': '18:00', 'modifier': '127.0'}]",scheduled,"[{'start_time': '07:00', 'load_limit': 1500}, {'start_time': '21:00', 'load_limit': 2000}]",Watts,,0,ETB,False,,,,kWh,674240c2-98af-4a69-a585-3bb40b819ec8
158,,,auto,0f0cc57f-8a31-4f5e-bbbd-ecf7c5f79201,,,53a0af5a-21ec-49ec-81c1-9ecf5630118e,SMRSDRF-02-0008824F,Basic HH Tariff_Zone 1,flat_rate,,19.0000,ETB,kWh,"[{'start_time': '06:00', 'modifier': '100.0'}, {'start_time': '18:00', 'modifier': '127.0'}]",scheduled,"[{'start_time': '07:00', 'load_limit': 1500}, {'start_time': '21:00', 'load_limit': 2000}]",Watts,,0,ETB,False,,,,kWh,63e88da8-6c6b-4213-b13d-e659d27cec05
159,,,auto,0f0cc57f-8a31-4f5e-bbbd-ecf7c5f79201,LVZ142,,9d23ac42-82a5-4050-b987-8698af20fb3d,SMRSDRF-02-00088158,Basic HH Tariff_Zone 1,flat_rate,,19.0000,ETB,kWh,"[{'start_time': '06:00', 'modifier': '100.0'}, {'start_time': '18:00', 'modifier': '127.0'}]",scheduled,"[{'start_time': '07:00', 'load_limit': 1500}, {'start_time': '21:00', 'load_limit': 2000}]",Watts,,0,ETB,False,,,,kWh,6e11498d-e26a-4ce0-bf65-3b0e881a027f
160,,,auto,0f0cc57f-8a31-4f5e-bbbd-ecf7c5f79201,,,8c602016-84af-4d13-af1e-7bfc2d6a9f29,SMRSDRF-02-00088234,Basic HH Tariff_Zone 1,flat_rate,,19.0000,ETB,kWh,"[{'start_time': '06:00', 'modifier': '100.0'}, {'start_time': '18:00', 'modifier': '127.0'}]",scheduled,"[{'start_time': '07:00', 'load_limit': 1500}, {'start_time': '21:00', 'load_limit': 2000}]",Watts,,0,ETB,False,,,,kWh,2d385a80-f8ab-4424-ad32-47c2114e364e
161,,,auto,0f0cc57f-8a31-4f5e-bbbd-ecf7c5f79201,LVZ18,,e9920e6d-b5e9-4c39-af06-14c78b3285cd,SMRSDRF-02-0008816C,Basic HH Tariff_Zone 1,flat_rate,,19.0000,ETB,kWh,"[{'start_time': '06:00', 'modifier': '100.0'}, {'start_time': '18:00', 'modifier': '127.0'}]",scheduled,"[{'start_time': '07:00', 'load_limit': 1500}, {'start_time': '21:00', 'load_limit': 2000}]",Watts,,0,ETB,False,,,,kWh,cae69c67-47ad-4abe-a729-74d0a39d1a84
162,,,auto,7aeac886-a392-47f4-984e-74329b4b7ea6,,,bf4fdddb-eda6-431b-8a41-befbab8cf903,SMRPIRF-02-00088EBE,PUE HUB_Millers,flat_rate,,19.0000,ETB,kWh,"[{'start_time': '06:00', 'modifier': '100.0'}, {'start_time': '18:00', 'modifier': '127.0'}]",flat,20000,Watts,,0,ETB,False,,,,kWh,78816815-2f53-489b-8839-c5f7779309ff
163,,,off,7aeac886-a392-47f4-984e-74329b4b7ea6,,,55e8568b-3acb-4af0-bee2-9935c3e85128,SMRPIRF-02-00088ECC,PUE HUB_Millers,flat_rate,,19.0000,ETB,kWh,"[{'start_time': '06:00', 'modifier': '100.0'}, {'start_time': '18:00', 'modifier': '127.0'}]",flat,20000,Watts,,0,ETB,False,,,,kWh,2a0c35fd-eda0-4688-8ae8-3db4217de48a
164,,,auto,7aeac886-a392-47f4-984e-74329b4b7ea6,,,88f23ae5-76c4-4f66-8d0a-84756e6d70a7,SMRPIRF-02-00088ED3,PUE HUB_Millers,flat_rate,,19.0000,ETB,kWh,"[{'start_time': '06:00', 'modifier': '100.0'}, {'start_time': '18:00', 'modifier': '127.0'}]",flat,20000,Watts,,0,ETB,False,,,,kWh,7aed51d2-ace2-4d03-b6ff-1e7612341f39
165,,,off,7aeac886-a392-47f4-984e-74329b4b7ea6,,,e8c85ef3-bef8-4a76-acc0-d3500a728103,SMRPIRF-02-00088EC0,PUE HUB_Millers,flat_rate,,19.0000,ETB,kWh,"[{'start_time': '06:00', 'modifier': '100.0'}, {'start_time': '18:00', 'modifier': '127.0'}]",flat,20000,Watts,,0,ETB,False,,,,kWh,52b31144-3df1-44aa-b350-26986577fbbb
166,,,off,7aeac886-a392-47f4-984e-74329b4b7ea6,,,a0b00183-a4bc-417c-b9f0-363e0a21ef3e,SMRPIRF-02-00088ECD,PUE HUB_Millers,flat_rate,,19.0000,ETB,kWh,"[{'start_time': '06:00', 'modifier': '100.0'}, {'start_time': '18:00', 'modifier': '127.0'}]",flat,20000,Watts,,0,ETB,False,,,,kWh,81a1ab4d-4f57-4742-b949-d4bff57e0e01
