,m_address,m_coordinates,m_operating_mode,m_tariff_id,m_pole_id,m_meter_phase,m_id,m_serial,m_tariff.name,m_tariff.electricity_rate_type,m_tariff.block_rate,m_tariff.rate_amount.value,m_tariff.rate_amount.numerator,m_tariff.rate_amount.denominator,m_tariff.time_of_use,m_tariff.load_limit_type,m_tariff.load_limit.value,m_tariff.load_limit.unit,m_tariff.plan_type,m_tariff.low_balance_threshold.amount,m_tariff.low_balance_threshold.currency,m_tariff.inrush_current_protection_disabled,m_tariff.block_rate_cycle_reset_energy,m_tariff.last_block_rate_cycle_reset_at,m_tariff.daily_energy_limit,m_tariff.daily_energy_limit_unit,id
333,,,auto,439df054-f98d-4132-98cc-d9503b59fe13,,,0124723b-eb3c-4d84-80e8-0aef11dd165e,SMRSDRF-02-000882A2,Basic HH Tariff_Zone 3,flat_rate,,19.0000,ETB,kWh,"[{'start_time': '06:00', 'modifier': '100.0'}, {'start_time': '18:00', 'modifier': '127.0'}]",scheduled,"[{'start_time': '07:00', 'load_limit': 1500}, {'start_time': '21:00', 'load_limit': 2000}]",Watts,,0,ETB,False,,,,kWh,c6407104-9376-4120-93d9-a15e4b6b4741
334,,,auto,77555148-67e8-4e04-85af-6741e6b0754d,,,31310d9f-2601-4914-83b6-446fadea1191,SMRSDRF-02-000884B8,Basic HH Tariff_Zone 2,flat_rate,,19.0000,ETB,kWh,"[{'start_time': '06:00', 'modifier': '100.0'}, {'start_time': '18:00', 'modifier': '127.0'}]",scheduled,"[{'start_time': '07:00', 'load_limit': 1500}, {'start_time': '21:00', 'load_limit': 2000}]",Watts,,0,ETB,False,,,,kWh,0c5d86f6-a231-4e9b-b496-61f1e3934074
335,,,auto,77555148-67e8-4e04-85af-6741e6b0754d,LVZ282,,c6e85b97-e613-4aa6-a2ac-0250b40d58d6,SMRSDRF-02-000880A8,Basic HH Tariff_Zone 2,flat_rate,,19.0000,ETB,kWh,"[{'start_time': '06:00', 'modifier': '100.0'}, {'start_time': '18:00', 'modifier': '127.0'}]",scheduled,"[{'start_time': '07:00', 'load_limit': 1500}, {'start_time': '21:00', 'load_limit': 2000}]",Watts,,0,ETB,False,,,,kWh,cf7388dc-dcb6-44cf-9060-015aa7af3ea7
336,,,auto,66b66b15-6217-4519-9722-3e6a51a239d6,LVZ148,,de13263a-03e1-4522-82e1-da6d2bc294c9,SMRSDRF-02-00088084,Small Business Tariff_Zone 1,flat_rate,,19.0000,ETB,kWh,"[{'start_time': '06:00', 'modifier': '100.0'}, {'start_time': '18:00', 'modifier': '127.0'}]",flat,10000,Watts,,0,ETB,False,,,,kWh,7c1204dd-6a8e-4b04-9706-2567fa802aa1
337,,,auto,0f0cc57f-8a31-4f5e-bbbd-ecf7c5f79201,,,b7c8488a-b920-41ac-b935-662243655582,SMRSDRF-02-000885DE,Basic HH Tariff_Zone 1,flat_rate,,19.0000,ETB,kWh,"[{'start_time': '06:00', 'modifier': '100.0'}, {'start_time': '18:00', 'modifier': '127.0'}]",scheduled,"[{'start_time': '07:00', 'load_limit': 1500}, {'start_time': '21:00', 'load_limit': 2000}]",Watts,,0,ETB,False,,,,kWh,226d846a-803e-4c97-a4e2-e9e6262fcb4d
338,,,auto,0f0cc57f-8a31-4f5e-bbbd-ecf7c5f79201,,,c4efc881-8f4c-428e-a724-41ad152ae87c,SMRSDRF-02-00088617,Basic HH Tariff_Zone 1,flat_rate,,19.0000,ETB,kWh,"[{'start_time': '06:00', 'modifier': '100.0'}, {'start_time': '18:00', 'modifier': '127.0'}]",scheduled,"[{'start_time': '07:00', 'load_limit': 1500}, {'start_time': '21:00', 'load_limit': 2000}]",Watts,,0,ETB,False,,,,kWh,8b74e693-26a5-4e8b-a25a-bfd734a2749e
339,,,auto,77555148-67e8-4e04-85af-6741e6b0754d,,,f60e9867-5937-476b-ac5f-b78a71af6fe3,SMRSDRF-02-0008860E,Basic HH Tariff_Zone 2,flat_rate,,19.0000,ETB,kWh,"[{'start_time': '06:00', 'modifier': '100.0'}, {'start_time': '18:00', 'modifier': '127.0'}]",scheduled,"[{'start_time': '07:00', 'load_limit': 1500}, {'start_time': '21:00', 'load_limit': 2000}]",Watts,,0,ETB,False,,,,kWh,edbd2141-66bc-4a24-af1a-8812dcf6a027
340,,,auto,77555148-67e8-4e04-85af-6741e6b0754d,LVZ299,,24f86354-c170-4b6b-a4dc-217e30b8fc90,SMRSDRF-02-000884B9,Basic HH Tariff_Zone 2,flat_rate,,19.0000,ETB,kWh,"[{'start_time': '06:00', 'modifier': '100.0'}, {'start_time': '18:00', 'modifier': '127.0'}]",scheduled,"[{'start_time': '07:00', 'load_limit': 1500}, {'start_time': '21:00', 'load_limit': 2000}]",Watts,,0,ETB,False,,,,kWh,b5296d6b-2203-40c1-bc54-db125a624fbf
341,,,auto,439df054-f98d-4132-98cc-d9503b59fe13,LVZ362,,b779d64d-39a8-4486-9980-43a2e85cac7b,SMRSDRF-02-00087F33,Basic HH Tariff_Zone 3,flat_rate,,19.0000,ETB,kWh,"[{'start_time': '06:00', 'modifier': '100.0'}, {'start_time': '18:00', 'modifier': '127.0'}]",scheduled,"[{'start_time': '07:00', 'load_limit': 1500}, {'start_time': '21:00', 'load_limit': 2000}]",Watts,,0,ETB,False,,,,kWh,b5288019-f9e0-47b2-a3bd-cf8fb0e34dd9
342,,,auto,439df054-f98d-4132-98cc-d9503b59fe13,,,eb997c69-c800-4f2f-ab90-13e084d26738,SMRSDRF-02-000882BC,Basic HH Tariff_Zone 3,flat_rate,,19.0000,ETB,kWh,"[{'start_time': '06:00', 'modifier': '100.0'}, {'start_time': '18:00', 'modifier': '127.0'}]",scheduled,"[{'start_time': '07:00', 'load_limit': 1500}, {'start_time': '21:00', 'load_limit': 2000}]",Watts,,0,ETB,False,,,,kWh,b72abc52-535d-4120-90a6-ddd21ef29b04
